signal,auth_encoded,duplicate_ssid,randomized_mac,network_type,signal_spike
58,2,0,0,0,0
71,2,0,0,0,0
48,2,0,0,0,0
34,2,0,0,0,0
62,2,0,0,0,0
27,2,0,0,0,0
40,2,0,0,0,0
58,2,0,0,0,0
77,2,0,0,0,0
38,2,0,0,0,0
42,2,0,0,0,0
30,2,0,0,0,0
30,2,0,0,0,0
43,2,0,0,0,0
72,2,0,0,0,0
55,2,0,0,0,0
59,2,0,0,0,0
43,2,0,0,0,0
22,2,0,0,0,0
41,2,0,0,0,0
72,2,0,0,0,0
21,2,0,0,0,0
43,2,0,0,0,0
63,2,0,0,0,0
49,2,0,0,0,0
57,2,0,0,0,0
21,2,0,0,0,0
79,2,0,0,0,0
40,2,0,0,0,0
52,2,0,0,0,0
31,2,0,0,0,0
77,2,0,0,0,0
41,2,0,0,0,0
63,2,0,0,0,0
44,2,0,0,0,0
68,2,0,0,0,0
46,2,0,0,0,0
78,2,0,0,0,0
61,2,0,0,0,0
47,2,0,0,0,0
79,2,0,0,0,0
35,2,0,0,0,0
34,2,0,0,0,0
66,2,0,0,0,0
70,2,0,0,0,0
63,2,0,0,0,0
74,2,0,0,0,0
71,2,0,0,0,0
76,2,0,0,0,0
22,2,0,0,0,0
56,2,0,0,0,0
70,2,0,0,0,0
26,2,0,0,0,0
40,2,0,0,0,0
28,2,0,0,0,0
58,2,0,0,0,0
37,2,0,0,0,0
23,2,0,0,0,0
44,2,0,0,0,0
79,2,0,0,0,0
33,2,0,0,0,0
69,2,0,0,0,0
77,2,0,0,0,0
28,2,0,0,0,0
45,2,0,0,0,0
72,2,0,0,0,0
21,2,0,0,0,0
39,2,0,0,0,0
47,2,0,0,0,0
66,2,0,0,0,0
79,2,0,0,0,0
26,2,0,0,0,0
63,2,0,0,0,0
27,2,0,0,0,0
66,2,0,0,0,0
54,2,0,0,0,0
33,2,0,0,0,0
36,2,0,0,0,0
55,2,0,0,0,0
69,2,0,0,0,0
59,2,0,0,0,0
23,2,0,0,0,0
21,2,0,0,0,0
25,2,0,0,0,0
73,2,0,0,0,0
61,2,0,0,0,0
23,2,0,0,0,0
73,2,0,0,0,0
48,2,0,0,0,0
37,2,0,0,0,0
45,2,0,0,0,0
63,2,0,0,0,0
53,2,0,0,0,0
29,2,0,0,0,0
55,2,0,0,0,0
33,2,0,0,0,0
50,2,0,0,0,0
67,2,0,0,0,0
34,2,0,0,0,0
27,2,0,0,0,0
33,2,0,0,0,0
42,2,0,0,0,0
79,2,0,0,0,0
76,2,0,0,0,0
59,2,0,0,0,0
40,2,0,0,0,0
35,2,0,0,0,0
64,2,0,0,0,0
37,2,0,0,0,0
66,2,0,0,0,0
72,2,0,0,0,0
43,2,0,0,0,0
45,2,0,0,0,0
44,2,0,0,0,0
79,2,0,0,0,0
79,2,0,0,0,0
79,2,0,0,0,0
64,2,0,0,0,0
60,2,0,0,0,0
48,2,0,0,0,0
34,2,0,0,0,0
64,2,0,0,0,0
20,2,0,0,0,0
44,2,0,0,0,0
26,2,0,0,0,0
28,2,0,0,0,0
43,2,0,0,0,0
20,2,0,0,0,0
63,2,0,0,0,0
27,2,0,0,0,0
43,2,0,0,0,0
30,2,0,0,0,0
70,2,0,0,0,0
36,2,0,0,0,0
27,2,0,0,0,0
54,2,0,0,0,0
54,2,0,0,0,0
52,2,0,0,0,0
78,2,0,0,0,0
24,2,0,0,0,0
61,2,0,0,0,0
58,2,0,0,0,0
77,2,0,0,0,0
60,2,0,0,0,0
47,2,0,0,0,0
26,2,0,0,0,0
28,2,0,0,0,0
27,2,0,0,0,0
31,2,0,0,0,0
53,2,0,0,0,0
52,2,0,0,0,0
67,2,0,0,0,0
74,2,0,0,0,0
42,2,0,0,0,0
43,2,0,0,0,0
56,2,0,0,0,0
54,2,0,0,0,0
63,2,0,0,0,0
59,2,0,0,0,0
41,2,0,0,0,0
46,2,0,0,0,0
54,2,0,0,0,0
20,2,0,0,0,0
54,2,0,0,0,0
56,2,0,0,0,0
66,2,0,0,0,0
33,2,0,0,0,0
22,2,0,0,0,0
20,2,0,0,0,0
24,2,0,0,0,0
45,2,0,0,0,0
74,2,0,0,0,0
33,2,0,0,0,0
58,2,0,0,0,0
46,2,0,0,0,0
28,2,0,0,0,0
34,2,0,0,0,0
34,2,0,0,0,0
45,2,0,0,0,0
61,2,0,0,0,0
79,2,0,0,0,0
32,2,0,0,0,0
70,2,0,0,0,0
51,2,0,0,0,0
58,2,0,0,0,0
68,2,0,0,0,0
71,2,0,0,0,0
51,2,0,0,0,0
23,2,0,0,0,0
49,2,0,0,0,0
56,2,0,0,0,0
42,2,0,0,0,0
58,2,0,0,0,0
64,2,0,0,0,0
34,2,0,0,0,0
62,2,0,0,0,0
48,2,0,0,0,0
55,2,0,0,0,0
32,2,0,0,0,0
51,2,0,0,0,0
26,2,0,0,0,0
78,2,0,0,0,0
70,2,0,0,0,0
41,2,0,0,0,0
47,2,0,0,0,0
21,2,0,0,0,0
61,2,0,0,0,0
64,2,0,0,0,0
76,2,0,0,0,0
72,2,0,0,0,0
25,2,0,0,0,0
47,2,0,0,0,0
47,2,0,0,0,0
63,2,0,0,0,0
63,2,0,0,0,0
39,2,0,0,0,0
49,2,0,0,0,0
30,2,0,0,0,0
77,2,0,0,0,0
74,2,0,0,0,0
47,2,0,0,0,0
44,2,0,0,0,0
58,2,0,0,0,0
52,2,0,0,0,0
20,2,0,0,0,0
76,2,0,0,0,0
46,2,0,0,0,0
76,2,0,0,0,0
71,2,0,0,0,0
32,2,0,0,0,0
60,2,0,0,0,0
22,2,0,0,0,0
58,2,0,0,0,0
25,2,0,0,0,0
27,2,0,0,0,0
46,2,0,0,0,0
28,2,0,0,0,0
56,2,0,0,0,0
52,2,0,0,0,0
70,2,0,0,0,0
61,2,0,0,0,0
63,2,0,0,0,0
43,2,0,0,0,0
34,2,0,0,0,0
78,2,0,0,0,0
73,2,0,0,0,0
51,2,0,0,0,0
51,2,0,0,0,0
43,2,0,0,0,0
60,2,0,0,0,0
71,2,0,0,0,0
68,2,0,0,0,0
68,2,0,0,0,0
77,2,0,0,0,0
71,2,0,0,0,0
31,2,0,0,0,0
58,2,0,0,0,0
21,2,0,0,0,0
22,2,0,0,0,0
68,2,0,0,0,0
56,2,0,0,0,0
68,2,0,0,0,0
75,2,0,0,0,0
36,2,0,0,0,0
78,2,0,0,0,0
68,2,0,0,0,0
21,2,0,0,0,0
21,2,0,0,0,0
47,2,0,0,0,0
73,2,0,0,0,0
42,2,0,0,0,0
56,2,0,0,0,0
51,2,0,0,0,0
52,2,0,0,0,0
20,2,0,0,0,0
38,2,0,0,0,0
21,2,0,0,0,0
72,2,0,0,0,0
63,2,0,0,0,0
45,2,0,0,0,0
51,2,0,0,0,0
25,2,0,0,0,0
51,2,0,0,0,0
74,2,0,0,0,0
23,2,0,0,0,0
74,2,0,0,0,0
30,2,0,0,0,0
75,2,0,0,0,0
78,2,0,0,0,0
36,2,0,0,0,0
57,2,0,0,0,0
43,2,0,0,0,0
24,2,0,0,0,0
71,2,0,0,0,0
53,2,0,0,0,0
25,2,0,0,0,0
41,2,0,0,0,0
30,2,0,0,0,0
67,2,0,0,0,0
35,2,0,0,0,0
52,2,0,0,0,0
28,2,0,0,0,0
79,2,0,0,0,0
78,2,0,0,0,0
25,2,0,0,0,0
35,2,0,0,0,0
48,2,0,0,0,0
22,2,0,0,0,0
39,2,0,0,0,0
79,2,0,0,0,0
78,2,0,0,0,0
55,2,0,0,0,0
38,2,0,0,0,0
45,2,0,0,0,0
22,2,0,0,0,0
38,2,0,0,0,0
39,2,0,0,0,0
51,2,0,0,0,0
26,2,0,0,0,0
71,2,0,0,0,0
60,2,0,0,0,0
52,2,0,0,0,0
59,2,0,0,0,0
58,2,0,0,0,0
37,2,0,0,0,0
59,2,0,0,0,0
20,2,0,0,0,0
30,2,0,0,0,0
47,2,0,0,0,0
76,2,0,0,0,0
44,2,0,0,0,0
69,2,0,0,0,0
42,2,0,0,0,0
50,2,0,0,0,0
49,2,0,0,0,0
61,2,0,0,0,0
54,2,0,0,0,0
26,2,0,0,0,0
79,2,0,0,0,0
35,2,0,0,0,0
45,2,0,0,0,0
67,2,0,0,0,0
76,2,0,0,0,0
71,2,0,0,0,0
79,2,0,0,0,0
68,2,0,0,0,0
21,2,0,0,0,0
20,2,0,0,0,0
67,2,0,0,0,0
31,2,0,0,0,0
24,2,0,0,0,0
56,2,0,0,0,0
51,2,0,0,0,0
78,2,0,0,0,0
74,2,0,0,0,0
28,2,0,0,0,0
60,2,0,0,0,0
54,2,0,0,0,0
38,2,0,0,0,0
67,2,0,0,0,0
35,2,0,0,0,0
22,2,0,0,0,0
39,2,0,0,0,0
43,2,0,0,0,0
73,2,0,0,0,0
75,2,0,0,0,0
52,2,0,0,0,0
43,2,0,0,0,0
71,2,0,0,0,0
30,2,0,0,0,0
68,2,0,0,0,0
27,2,0,0,0,0
55,2,0,0,0,0
57,2,0,0,0,0
59,2,0,0,0,0
39,2,0,0,0,0
54,2,0,0,0,0
67,2,0,0,0,0
44,2,0,0,0,0
54,2,0,0,0,0
44,2,0,0,0,0
48,2,0,0,0,0
37,2,0,0,0,0
65,2,0,0,0,0
37,2,0,0,0,0
21,2,0,0,0,0
73,2,0,0,0,0
54,2,0,0,0,0
35,2,0,0,0,0
60,2,0,0,0,0
55,2,0,0,0,0
52,2,0,0,0,0
23,2,0,0,0,0
52,2,0,0,0,0
33,2,0,0,0,0
40,2,0,0,0,0
67,2,0,0,0,0
39,2,0,0,0,0
75,2,0,0,0,0
27,2,0,0,0,0
26,2,0,0,0,0
22,2,0,0,0,0
36,2,0,0,0,0
52,2,0,0,0,0
67,2,0,0,0,0
31,2,0,0,0,0
78,2,0,0,0,0
70,2,0,0,0,0
41,2,0,0,0,0
74,2,0,0,0,0
41,2,0,0,0,0
65,2,0,0,0,0
49,2,0,0,0,0
57,2,0,0,0,0
57,2,0,0,0,0
64,2,0,0,0,0
70,2,0,0,0,0
73,2,0,0,0,0
27,2,0,0,0,0
46,2,0,0,0,0
46,2,0,0,0,0
53,2,0,0,0,0
40,2,0,0,0,0
49,2,0,0,0,0
52,2,0,0,0,0
47,2,0,0,0,0
66,2,0,0,0,0
52,2,0,0,0,0
24,2,0,0,0,0
79,2,0,0,0,0
67,2,0,0,0,0
38,2,0,0,0,0
23,2,0,0,0,0
54,2,0,0,0,0
68,2,0,0,0,0
36,2,0,0,0,0
63,2,0,0,0,0
47,2,0,0,0,0
49,2,0,0,0,0
48,2,0,0,0,0
65,2,0,0,0,0
72,2,0,0,0,0
25,2,0,0,0,0
54,2,0,0,0,0
79,2,0,0,0,0
60,2,0,0,0,0
56,2,0,0,0,0
43,2,0,0,0,0
48,2,0,0,0,0
68,2,0,0,0,0
65,2,0,0,0,0
72,2,0,0,0,0
50,2,0,0,0,0
54,2,0,0,0,0
79,2,0,0,0,0
52,2,0,0,0,0
71,2,0,0,0,0
40,2,0,0,0,0
51,2,0,0,0,0
42,2,0,0,0,0
52,2,0,0,0,0
22,2,0,0,0,0
37,2,0,0,0,0
44,2,0,0,0,0
61,2,0,0,0,0
50,2,0,0,0,0
73,2,0,0,0,0
77,2,0,0,0,0
22,2,0,0,0,0
59,2,0,0,0,0
65,2,0,0,0,0
43,2,0,0,0,0
69,2,0,0,0,0
51,2,0,0,0,0
66,2,0,0,0,0
41,2,0,0,0,0
42,2,0,0,0,0
21,2,0,0,0,0
46,2,0,0,0,0
61,2,0,0,0,0
21,2,0,0,0,0
45,2,0,0,0,0
36,2,0,0,0,0
59,2,0,0,0,0
52,2,0,0,0,0
28,2,0,0,0,0
62,2,0,0,0,0
73,2,0,0,0,0
67,2,0,0,0,0
58,2,0,0,0,0
48,2,0,0,0,0
61,2,0,0,0,0
74,2,0,0,0,0
45,2,0,0,0,0
54,2,0,0,0,0
69,2,0,0,0,0
44,2,0,0,0,0
43,2,0,0,0,0
32,2,0,0,0,0
79,2,0,0,0,0
77,2,0,0,0,0
26,2,0,0,0,0
76,2,0,0,0,0
55,2,0,0,0,0
64,2,0,0,0,0
39,2,0,0,0,0
20,2,0,0,0,0
27,2,0,0,0,0
65,2,0,0,0,0
35,2,0,0,0,0
33,2,0,0,0,0
31,2,0,0,0,0
70,2,0,0,0,0
42,2,0,0,0,0
34,2,0,0,0,0
47,2,0,0,0,0
53,2,0,0,0,0
21,2,0,0,0,0
51,2,0,0,0,0
42,2,0,0,0,0
41,2,0,0,0,0
70,2,0,0,0,0
44,2,0,0,0,0
77,2,0,0,0,0
41,2,0,0,0,0
77,2,0,0,0,0
77,2,0,0,0,0
41,2,0,0,0,0
68,2,0,0,0,0
71,2,0,0,0,0
61,2,0,0,0,0
25,2,0,0,0,0
34,2,0,0,0,0
73,2,0,0,0,0
62,2,0,0,0,0
79,2,0,0,0,0
56,2,0,0,0,0
52,2,0,0,0,0
27,2,0,0,0,0
72,2,0,0,0,0
79,2,0,0,0,0
63,2,0,0,0,0
63,2,0,0,0,0
24,2,0,0,0,0
58,2,0,0,0,0
23,2,0,0,0,0
25,2,0,0,0,0
64,2,0,0,0,0
51,2,0,0,0,0
71,2,0,0,0,0
49,2,0,0,0,0
66,2,0,0,0,0
54,2,0,0,0,0
74,2,0,0,0,0
59,2,0,0,0,0
71,2,0,0,0,0
35,2,0,0,0,0
32,2,0,0,0,0
69,2,0,0,0,0
79,2,0,0,0,0
61,2,0,0,0,0
49,2,0,0,0,0
38,2,0,0,0,0
36,2,0,0,0,0
75,2,0,0,0,0
38,2,0,0,0,0
47,2,0,0,0,0
77,2,0,0,0,0
74,2,0,0,0,0
45,2,0,0,0,0
56,2,0,0,0,0
45,2,0,0,0,0
72,2,0,0,0,0
42,2,0,0,0,0
28,2,0,0,0,0
31,2,0,0,0,0
72,2,0,0,0,0
20,2,0,0,0,0
77,2,0,0,0,0
77,2,0,0,0,0
20,2,0,0,0,0
66,2,0,0,0,0
53,2,0,0,0,0
51,2,0,0,0,0
73,2,0,0,0,0
67,2,0,0,0,0
44,2,0,0,0,0
59,2,0,0,0,0
64,2,0,0,0,0
72,2,0,0,0,0
20,2,0,0,0,0
35,2,0,0,0,0
58,2,0,0,0,0
24,2,0,0,0,0
41,2,0,0,0,0
48,2,0,0,0,0
74,2,0,0,0,0
22,2,0,0,0,0
31,2,0,0,0,0
45,2,0,0,0,0
88,0,0,1,1,1
88,0,1,1,0,1
96,0,1,1,0,1
64,0,1,1,0,1
85,0,1,1,0,0
55,3,0,0,0,0
79,0,1,0,0,1
64,0,1,1,0,1
79,1,0,1,1,1
51,3,0,0,0,0
54,0,1,1,0,1
85,0,0,1,1,1
87,0,1,1,0,1
39,3,0,0,0,0
81,1,0,1,1,1
52,3,0,0,0,0
92,0,1,1,0,0
82,1,1,0,0,1
62,2,1,1,0,1
84,2,1,0,0,1
98,1,0,1,1,1
85,0,1,1,0,1
60,3,0,0,0,0
23,3,0,0,0,0
70,0,0,1,0,1
94,0,0,1,1,1
85,1,1,0,0,0
72,0,0,1,1,1
67,3,0,0,0,0
87,0,0,1,1,1
51,3,0,0,0,0
92,1,0,1,1,1
74,1,0,1,1,1
62,2,1,0,0,0
79,0,1,0,0,1
85,0,0,1,1,1
72,0,0,1,0,0
85,0,1,0,0,0
78,0,0,1,1,1
83,0,0,1,1,1
89,0,0,1,1,1
75,0,0,1,0,0
31,3,0,0,0,0
70,0,1,0,0,1
88,0,1,0,0,1
98,0,1,1,0,0
64,0,0,1,0,0
92,2,1,1,0,0
78,1,0,1,1,1
76,0,0,1,0,1
65,3,0,0,0,0
89,1,1,0,0,1
21,3,0,0,0,0
78,0,1,1,0,0
85,0,0,1,1,1
71,0,1,0,0,0
94,1,1,1,0,0
63,3,0,0,0,0
98,0,0,1,0,1
78,0,0,1,0,1
64,3,0,0,0,0
77,1,1,1,0,1
77,0,0,1,1,1
60,3,0,0,0,0
20,3,0,0,0,0
32,3,0,0,0,0
99,0,0,1,1,1
68,3,0,0,0,0
82,1,1,0,0,1
91,0,0,1,0,0
40,3,0,0,0,0
91,0,0,1,1,1
56,3,0,0,0,0
72,0,0,1,1,1
94,1,0,1,1,1
60,3,0,0,0,0
63,2,1,0,0,0
52,2,1,0,0,0
79,1,0,1,1,1
77,1,0,1,1,1
93,1,0,1,1,1
57,1,1,1,0,1
67,0,1,1,0,1
87,0,1,1,0,0
85,2,1,1,0,0
58,0,1,0,0,1
77,0,1,0,0,1
25,3,0,0,0,0
64,0,0,1,0,0
69,0,1,1,0,1
64,0,0,1,0,1
50,1,1,1,0,0
60,0,1,1,0,0
71,2,1,0,0,0
82,1,1,0,0,0
20,3,0,0,0,0
97,2,1,1,0,1
54,2,1,0,0,1
42,3,0,0,0,0
86,1,1,1,0,0
70,1,1,0,0,1
94,0,1,1,0,1
98,1,1,1,0,0
76,1,0,1,1,1
93,0,1,1,0,1
69,3,0,0,0,0
70,1,0,1,1,1
74,1,0,1,1,1
76,0,1,1,0,0
42,3,0,0,0,0
56,3,0,0,0,0
63,1,1,0,0,0
57,3,0,0,0,0
97,1,0,1,1,1
93,0,1,1,0,1
46,3,0,0,0,0
53,3,0,0,0,0
94,1,0,1,1,1
73,2,1,1,0,1
61,3,0,0,0,0
36,3,0,0,0,0
78,1,1,1,0,0
76,0,1,1,0,1
74,1,0,1,1,1
61,0,0,1,0,1
62,3,0,0,0,0
80,0,0,1,1,1
42,3,0,0,0,0
35,3,0,0,0,0
30,3,0,0,0,0
75,0,1,1,0,1
73,1,0,1,1,1
52,2,1,0,0,0
87,0,0,1,1,1
78,0,0,1,0,0
87,0,1,1,0,0
80,0,1,1,0,0
90,1,1,1,0,1
63,1,1,0,0,0
75,0,1,0,0,0
89,0,0,1,0,0
98,0,0,1,1,1
95,0,0,1,0,1
84,0,1,1,0,0
41,3,0,0,0,0
85,0,1,1,0,0
83,0,1,1,0,0
73,0,0,1,0,1
26,3,0,0,0,0
66,3,0,0,0,0
65,3,0,0,0,0
66,3,0,0,0,0
82,1,0,1,1,1
97,0,0,1,0,0
44,3,0,0,0,0
56,3,0,0,0,0
79,0,0,1,1,1
66,2,1,1,0,1
84,0,0,1,0,0
94,1,0,1,1,1
62,0,0,1,0,0
95,0,0,1,0,1
67,0,1,1,0,0
88,1,0,1,1,1
86,1,1,1,0,1
71,0,0,1,1,1
96,0,0,1,1,1
96,0,0,1,0,0
71,0,1,1,0,1
67,3,0,0,0,0
99,0,0,1,1,1
89,0,0,1,0,1
28,3,0,0,0,0
22,3,0,0,0,0
50,3,0,0,0,0
74,1,0,1,1,1
75,1,0,1,1,1
97,0,0,1,1,1
84,1,0,1,1,1
89,0,1,1,0,1
21,3,0,0,0,0
30,3,0,0,0,0
95,0,0,1,1,1
93,0,1,1,0,1
63,0,0,1,0,1
69,0,1,1,0,0
75,1,1,1,0,1
60,2,1,1,0,0
22,3,0,0,0,0
55,1,1,1,0,1
72,1,1,1,0,1
89,1,1,1,0,0
56,3,0,0,0,0
66,0,1,0,0,0
75,0,0,1,1,1
49,3,0,0,0,0
68,3,0,0,0,0
93,1,1,1,0,0
80,0,0,1,1,1
71,0,0,1,0,0
89,1,1,1,0,1
57,2,1,0,0,0
89,0,0,1,0,0
54,2,1,0,0,1
63,0,0,1,0,0
84,0,1,1,0,1
76,1,0,1,1,1
91,0,0,1,0,0
92,0,0,1,0,0
52,3,0,0,0,0
66,0,1,0,0,0
73,0,0,1,0,1
88,0,0,1,1,1
25,3,0,0,0,0
62,0,0,1,0,0
79,1,0,1,1,1
84,0,0,1,1,1
82,1,1,0,0,0
98,1,0,1,1,1
82,0,1,0,0,0
52,3,0,0,0,0
63,0,1,1,0,1
64,0,0,1,0,1
87,0,1,0,0,0
82,1,0,1,1,1
93,0,0,1,1,1
57,0,1,0,0,0
81,0,0,1,1,1
86,0,0,1,0,0
55,3,0,0,0,0
95,0,0,1,1,1
24,3,0,0,0,0
80,1,0,1,1,1
99,0,1,1,0,1
92,0,0,1,1,1
71,0,1,1,0,0
99,1,0,1,1,1
82,2,1,1,0,1
31,3,0,0,0,0
73,1,0,1,1,1
74,1,0,1,1,1
57,2,1,1,0,0
95,0,0,1,1,1
88,0,1,1,0,1
71,2,1,0,0,0
96,0,0,1,0,1
95,0,1,1,0,0
50,2,1,1,0,0
59,3,0,0,0,0
40,3,0,0,0,0
28,3,0,0,0,0
58,1,1,1,0,0
75,0,1,0,0,0
94,1,0,1,1,1
57,3,0,0,0,0
66,0,1,1,0,0
86,0,0,1,0,1
63,3,0,0,0,0
43,3,0,0,0,0
56,1,1,0,0,1
98,0,1,0,0,0
85,0,1,1,0,1
98,2,1,0,0,1
98,1,1,1,0,1
59,3,0,0,0,0
56,0,1,1,0,0
82,0,0,1,0,0
88,1,0,1,1,1
99,0,0,1,1,1
94,0,1,1,0,1
88,1,0,1,1,1
63,2,1,0,0,1
87,0,0,1,0,1
97,0,0,1,0,0
70,1,0,1,1,1
88,2,1,1,0,1
78,0,1,1,0,1
70,0,0,1,1,1
47,3,0,0,0,0
87,0,0,1,1,1
57,0,1,0,0,0
43,3,0,0,0,0
27,3,0,0,0,0
96,0,0,1,0,0
77,2,1,1,0,1
51,3,0,0,0,0
83,1,0,1,1,1
83,0,0,1,1,1
73,1,0,1,1,1
70,1,1,0,0,0
87,0,0,1,1,1
66,0,0,1,0,0
68,0,1,0,0,1
67,1,1,0,0,0
69,2,1,1,0,0
62,0,0,1,0,0
89,0,0,1,1,1
87,1,1,0,0,1
93,2,1,1,0,1
83,0,0,1,0,1
82,0,1,1,0,1
66,1,1,0,0,1
84,0,0,1,0,0
81,0,0,1,0,1
95,1,0,1,1,1
94,1,1,0,0,0
25,3,0,0,0,0
80,0,1,1,0,1
87,1,1,0,0,0
87,1,1,1,0,0
91,1,1,0,0,0
80,1,1,0,0,1
71,0,0,1,0,0
56,1,1,0,0,0
80,0,1,1,0,1
61,0,1,1,0,1
20,3,0,0,0,0
55,3,0,0,0,0
45,3,0,0,0,0
70,2,1,1,0,0
73,0,0,1,1,1
58,3,0,0,0,0
72,1,0,1,1,1
83,0,1,1,0,1
82,1,1,1,0,0
88,0,0,1,1,1
80,0,0,1,1,1
93,0,0,1,0,1
68,0,0,1,0,1
50,0,1,0,0,0
79,0,0,1,1,1
54,3,0,0,0,0
69,3,0,0,0,0
93,2,1,1,0,1
71,0,0,1,0,0
96,0,0,1,1,1
66,1,1,0,0,0
96,1,1,1,0,1
27,3,0,0,0,0
40,3,0,0,0,0
72,0,1,1,0,1
67,0,0,1,0,1
61,2,1,0,0,1
94,1,1,0,0,1
75,0,0,1,0,0
45,3,0,0,0,0
71,1,1,0,0,1
26,3,0,0,0,0
97,1,1,0,0,0
67,2,1,1,0,1
54,3,0,0,0,0
98,0,0,1,0,1
43,3,0,0,0,0
63,3,0,0,0,0
82,1,0,1,1,1
56,3,0,0,0,0
59,3,0,0,0,0
82,0,1,1,0,0
68,3,0,0,0,0
98,1,0,1,1,1
62,1,1,0,0,1
91,1,1,1,0,0
61,3,0,0,0,0
89,0,0,1,0,0
62,1,1,1,0,1
58,3,0,0,0,0
88,0,1,1,0,0
93,0,1,1,0,1
84,0,0,1,1,1
89,0,0,1,0,0
39,3,0,0,0,0
50,1,1,0,0,0
63,1,1,1,0,1
96,0,0,1,0,1
95,2,1,0,0,0
73,2,1,1,0,0
86,2,1,1,0,1
65,3,0,0,0,0
80,1,0,1,1,1
83,0,1,0,0,1
96,1,0,1,1,1
98,0,0,1,1,1
69,0,0,1,0,1
75,0,1,0,0,1
25,3,0,0,0,0
54,1,1,0,0,0
58,2,1,1,0,1
91,2,1,1,0,1
76,0,1,1,0,0
72,1,0,1,1,1
96,0,1,0,0,1
96,0,1,1,0,0
52,2,1,1,0,0
52,0,1,1,0,1
68,0,0,1,0,1
54,2,1,0,0,1
97,0,0,1,1,1
67,0,0,1,0,0
95,1,0,1,1,1
96,0,1,1,0,1
